Man	åvteste
åvteste	eah
eah	gånkaladtjh
gånkaladtjh	kråvnah
kråvnah	guedtieh
guedtieh	.
.	Ikth
Ikth	lij
lij	aerpieprïnse
aerpieprïnse	,
,	gie
gie	lij
lij	gelmieminie
gelmieminie	jïh
jïh	bïlleminie
bïlleminie	dejstie
dejstie	stoerre
stoerre	baarojste
baarojste	mah
mah	dennie
dennie	stoerresaelhtesne
stoerresaelhtesne	.
.	Jaepie
Jaepie	lij
lij	1905
1905	,
,	jïh
jïh	dïhte
dïhte	aerpieprïnsetje
aerpieprïnsetje	lij
lij	voestes
voestes	aejkien
aejkien	Danmarhkeste
Danmarhkeste	Nöörjese
Nöörjese	gånka
gånka	Haakon
Haakon	gon
gon	trööhnege
trööhnege	Maudine
Maudine	ektine
ektine	fealedeminie
fealedeminie	.
.	Dan
Dan	prïnsen
prïnsen	rïektes
rïektes	nomme
nomme	lij
lij	Alexander
Alexander	Edvard
Edvard	Christian
Christian	Fredrik
Fredrik	,
,	mohte
mohte	dïhte
dïhte	jïjtjehke
jïjtjehke	gånka
gånka	tuhtjie
tuhtjie	ååpsen
ååpsen	guhkies
guhkies	jïh
jïh	ååpsen
ååpsen	danske
danske	nomme
nomme	dïhte
dïhte	,
,	daelie
daelie	gosse
gosse	lij
lij	Nöörjen
Nöörjen	aerpieprïnsine
aerpieprïnsine	sjïdteme
sjïdteme	.
.	Dannasinie
Dannasinie	sïjhtin
sïjhtin	dam
dam	barre
barre	Åvline
Åvline	gåhtjodh
gåhtjodh	.
.	Gånka
Gånka	Haakon
Haakon	sïllesti
sïllesti	dan
dan	prådtjose
prådtjose	Kristianese
Kristianese	,
,	mij
mij	dejbeeli
dejbeeli	Oslon
Oslon	nomme
nomme	lij
lij	.
.	Dan
Dan	guhkiem
guhkiem	mænngan
mænngan	,
,	raaktan
raaktan	gellie
gellie	tjuetie
tjuetie	jaepiej
jaepiej	dej
dej	beeli
beeli	åvteli
åvteli	,
,	akte
akte	gånka
gånka	dam
dam	Nöörjem
Nöörjem	fealadamme
fealadamme	.
.	Jïjnjh
Jïjnjh	almetjh
almetjh	dennie
dennie	prådtjosne
prådtjosne	.
.	Tjåarvoejin
Tjåarvoejin	”
”	Jielieh
Jielieh	gånka
gånka	!
!	”
”	jïh
jïh	daaroen
daaroen	saevegigujmie
saevegigujmie	haejviehtin
haejviehtin	,
,	barre
barre	goh
goh	suehpeden
suehpeden	17:n
17:n	biejjien
biejjien	lij
lij	,
,	jïlhts
jïlhts	barre
barre	rïhkeden
rïhkeden	25:n
25:n	biejjien
biejjien	.
.	Åvletje
Åvletje	strerkiesti
strerkiesti	dehtie
dehtie	tjåarvoemistie
tjåarvoemistie	.
.	Barre
Barre	göökten
göökten	jaepien
jaepien	båeries
båeries	,
,	jïh
jïh	idtji
idtji	man
man	jïjnjem
jïjnjem	guarkah
guarkah	dehtie
dehtie	stadtjoste
stadtjoste	.
.	Mohte
Mohte	guarkeme
guarkeme	lea
lea	,
,	sijjieh
sijjieh	edtjieh
edtjieh	kråvnah
kråvnah	åadtjodh
åadtjodh	,
,	seammalaakan
seammalaakan	guktie
guktie	maadter-aahka
maadter-aahka	gon
gon	maadter-aajjah
maadter-aajjah	utnigan
utnigan	,
,	dannasinie
dannasinie	gånka
gånka	gon
gon	trööhneginie
trööhneginie	likan
likan	Danmarkeste
Danmarkeste	.
.	Dej
Dej	beeli
beeli	hov
hov	gidtjh
gidtjh	nimhtie
nimhtie	,
,	idtjin
idtjin	dah
dah	gånkah
gånkah	jïh
jïh	trööhnegh
trööhnegh	man
man	jïjnjem
jïjnjem	darjoeh
darjoeh	,
,	barre
barre	dej
dej	tråvnaj
tråvnaj	nelnie
nelnie	tjahkasjin
tjahkasjin	sijjen
sijjen	kråvnajgujmie
kråvnajgujmie	.
.	Nov
Nov	hævvi
hævvi	,
,	dejtie
dejtie	rïjhkide
rïjhkide	hov
hov	aaj
aaj	reerin
reerin	.
.	Åvletje
Åvletje	tuhtjie
tuhtjie	luste
luste	vååjnoe
vååjnoe	,
,	aavodeminie
aavodeminie	hov
hov	lea
lea	maaje
maaje	åadtjodh
åadtjodh	tråvnan
tråvnan	nelnie
nelnie	tjahkasjidh
tjahkasjidh	jïjtse
jïjtse	kråvnine
kråvnine	.
.	Fïerhten
Fïerhten	aejkien
aejkien	goh
goh	Åvletje
Åvletje	akten
akten	guvvien
guvvien	baaktoe
baaktoe	veedtsi
veedtsi	gusnie
gusnie	ålmah
ålmah	jallh
jallh	nyjsenæjjah
nyjsenæjjah	lin
lin	kråvnajgujmie
kråvnajgujmie	,
,	dle
dle	dïsse
dïsse	tjuvtjiedi
tjuvtjiedi	,
,	jeehti:”Kråvna
jeehti:”Kråvna	?
?	”
”	.
.	Jïh
Jïh	gaajhkh
gaajhkh	dah
dah	tjeanerh
tjeanerh	mah
mah	iktes
iktes	sov
sov	bïjre
bïjre	lin
lin	,
,	mojjehtallin
mojjehtallin	jeehtin
jeehtin	;
;	“
“	saatnan
saatnan	hov
hov	,
,	kråvna
kråvna	hov
hov	dïhte
dïhte	,
,	jïh
jïh	dagkerh
dagkerh	edtjijidie
edtjijidie	dijjieh
dijjieh	gånkaladtjh
gånkaladtjh	aaj
aaj	rætnoe
rætnoe	åadtjodh
åadtjodh	“
“	Åvletje
Åvletje	lij
lij	rontesteminie
rontesteminie	,
,	saarnoeh
saarnoeh	gïeh
gïeh	“
“	dah
dah	gånkaladtjh
gånkaladtjh	“
“	lin
lin	.
.	Biejjieh
Biejjieh	,
,	askh
askh	vaesieh
vaesieh	.
.	Åvletje
Åvletje	annje
annje	vuertieminie
vuertieminie	,
,	rontestalleminie
rontestalleminie	:
:	Gåabph
Gåabph	dah
dah	kråvnah
kråvnah	sjïdtin
sjïdtin	?
?	Ojhte
Ojhte	,
,	dle
dle	almetjh
almetjh	eelkin
eelkin	kråvnoevuekiej
kråvnoevuekiej	bïjre
bïjre	soptsestalledh
soptsestalledh	.
.	Åvletje
Åvletje	hov
hov	rontesti
rontesti	mij
mij	maa
maa	dïhte
dïhte	jis
jis	.
.	”
”	Kråvna
Kråvna	?
?	”
”	Trööhnegem
Trööhnegem	akten
akten	biejjien
biejjien	gihtji
gihtji	,
,	jïh
jïh	dle
dle	trööhnege
trööhnege	soptsesti
soptsesti	sijjieh
sijjieh	edtjieh
edtjieh	Tråantese
Tråantese	,
,	Nidarosese
Nidarosese	vuelkedh
vuelkedh	,
,	kråvnah
kråvnah	åadtjodh
åadtjodh	.
.	Åvletje
Åvletje	dan
dan	aavosne
aavosne	sjædta
sjædta	.
.	Dellie
Dellie	maa
maa	edtji
edtji	satne
satne	aaj
aaj	kråvnam
kråvnam	åadtjodh
åadtjodh	jïh
jïh	tråvnan
tråvnan	nelnie
nelnie	tjahkasjidh
tjahkasjidh	.
.	Tjaebpies
Tjaebpies	biejjie
biejjie	lij
lij	jïh
jïh	abpe
abpe	Tråante
Tråante	lij
lij	aavodeminie
aavodeminie	dan
dan	beajjan
beajjan	.
.	Nidarosdomen
Nidarosdomen	lij
lij	tjaebpieslaakan
tjaebpieslaakan	rïeseldihkie
rïeseldihkie	,
,	goh
goh	dah
dah	golmesh
golmesh	dejtie
dejtie	sijjen
sijjen	kråvnide
kråvnide	åadtjoejin
åadtjoejin	.
.	Åvletje
Åvletje	dam
dam	unniemassem
unniemassem	åadtjoeji
åadtjoeji	,
,	juktie
juktie	satne
satne	dïhte
dïhte	unnemes
unnemes	.
.	Dïhte
Dïhte	kråvna
kråvna	lij
lij	gullijste
gullijste	jïh
jïh	tjaebpies
tjaebpies	gierkijste
gierkijste	dorjesovveme
dorjesovveme	,
,	jïh
jïh	destie
destie	hov
hov	gåhkese
gåhkese	klienjiedi
klienjiedi	.
.	Dah
Dah	tjeanerh
tjeanerh	låapoestallin
låapoestallin	,
,	jeehtin
jeehtin	:
:	Jemmede
Jemmede	bielien
bielien	,
,	man
man	tjaebpies
tjaebpies	kråvnam
kråvnam	Altese
Altese	Gånkaladtje
Gånkaladtje	Jallohke
Jallohke	[
[	Jïllevoete
Jïllevoete	]
]	lea
lea	åådtjeme
åådtjeme	“
“	Åvletjistie
Åvletjistie	aaj
aaj	seammalaakan
seammalaakan	klienjedi
klienjedi	goh
goh	kråvneste
kråvneste	.
.	Ij
Ij	lij
lij	dej
dej	fåantoe
fåantoe	,
,	idtjin
idtjin	sov
sov	nommem
nommem	daejrieh
daejrieh	,
,	Åvletje
Åvletje	ussjedi
ussjedi	.
.	Goh
Goh	gånkaladtjh
gånkaladtjh	viht
viht	bååstede
bååstede	slåahtese
slåahtese	böötin
böötin	,
,	dellie
dellie	lin
lin	golme
golme	tråvnah
tråvnah	dennie
dennie	stööremes
stööremes	savkese
savkese	tseegkesovveme
tseegkesovveme	.
.	Åvletje
Åvletje	dam
dam	unniemassem
unniemassem	åadtjoeji
åadtjoeji	,
,	ihke
ihke	satne
satne	dïhte
dïhte	unnemes
unnemes	.
.	Desnie
Desnie	tjahkasjin
tjahkasjin	tråvnaj
tråvnaj	nelnie
nelnie	jïjtsh
jïjtsh	kråvnajgujmie
kråvnajgujmie	,
,	jïh
jïh	dan
dan	göögkeles
göögkeles	guktie
guktie	raaktan
raaktan	gånkaladtjijstie
gånkaladtjijstie	giltin
giltin	.
.	Dan
Dan	vöökeslaakan
vöökeslaakan	vååjnin
vååjnin	.
.	Biejjieh
Biejjieh	,
,	våhkoeh
våhkoeh	vaesieh
vaesieh	.
.	Åvletje
Åvletje	lij
lij	vïssjehtovveminie
vïssjehtovveminie	dehtie
dehtie	tråvneste
tråvneste	,
,	jïlhts
jïlhts	kråvnam
kråvnam	utni
utni	jïh
jïh	jïlhts
jïlhts	gaajhkesh
gaajhkesh	dovnesh
