# Divvun & Giellatekno - open source grammars for Sámi and other languages
# Copyright © 2000-2010 The University of Tromsø & the Norwegian Sámi Parliament
# http://giellatekno.uit.no & http://divvun.no
#
# This program is free software; you can redistribute and/or modify
# this file under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version. The GNU General Public License
# is found at http://www.gnu.org/licenses/gpl.html. It is
# also available in the file $GTHOME/LICENSE.txt.
#
# Other licensing options are available upon request, please contact
# giellatekno@hum.uit.no or divvun@samediggi.no

# typos.txt
# This file contains common typos and their corrections separated by
# <tab> character.
# leif<tab>feil
# Corrections that consist of two or more parts are not splitted
# further in the preprocessor, because there is no way of knowing
# whether the token is multipart expression or not.
# Beware of removing sentence delimiters (.!?) in correction, since
# they may indicate sentence boundaries.
#
#
# --- hyphen-section, most are not really typos and should be removed when we get the twol-rules to function ---
ov-nohkens	ovnohkens
maam-akt	maamakt
åejjieh-saejrehtse	åejjiesaejrehts
loevte-nidtjieh	loevtenjidtjieh
boelv-jöölki	boelvhjöölki
ryökneme-buerkestimmine	ryöknemebuerkiestimmine
stoerre-tjuetie	stoerretjuetie
tjaalege-ååhpetje	tjaalegeåahpetje
tjaalege-ååhpetjh	tjaalegeåahpetjh
lijhkie-sjåarhtosne	lijkiesjåarhtosne
lijhkie-måvhkesne	lijkiemåvhkesne
Daen-biejjien	Daenbiejjien
ammes-jaahkoeladtjh	ammesjaahkoeladtjh
jaepie-byvnesjimmiem	jaepiebievnesjimmiem
jaepie-bivnesjimmiem	jaepiebievnesjimmiem
giele-øøvtiedimmien	gïeleövtiedimmien
vidtjie-nïerh	vidtjienïere
vidtjie-nïeride	vidtjienïeride
learoevierhtie-øøvtiedimmiem	learoevierhtieövtiedimmiem
learoevierhtie-øøvtiedimmesne	learoevierhtieövtiedimmesne
giele-øøvtiedimmine	gïeleövtiedimmine
kultuvre-foente	kultuvrefoente
doenh-aajmosne	doene-aajmosne
maadt-vierhtine	maadthvierhtine
Stoerre-tjuetie	Stoerretjuetie
Raavrh-vijhkese	Raavrhvijhkese
beetneh-vierhtieh	beetnehvierhtie
luhkie-golmen	luhkiegolmen
maajh-vååjnesisnie	maajehvååjnesisnie
daen-biejjien	daenbiejjien
mobil-tellefovne	mobiltelefovne
boelth-aajja	boeltaajja
geaseme-laavenjassh	giesemelaavenjassh
båatsoe-laakesne	båatsoelaakesne
jeatjh-laakan	jeatjhlaakan
kristh-aehtjeste	kristaehtjeste
dallah-masten	dallahmasten
ov-messie	ovmessie
ov-missie	ovmissie
åarjelh-saemien	åarjelsaemien
Åarjelh-saemien	Åarjelsaemien
maadth-skuvlesne	maadthskuvlesne
joekehth-laakan	joekehthlaakan
ovmessie-laakan	ovmessielaakan
ektesvuekie-barkoem	ektievuekiebarkoem
Aarbortesne	Aarportesne
nueleln	nuelesne
njieljehts	njealjehts
edtjægan	edtjigan
dïenere	deanere
Jupmelistie	Jupmielistie
Romsen	Romsan
Saemidigkie	Saemiedigkie
saemiengïeleldh	saemiengïelen
Snåasan	Snåasen
aamhtsh	aamhtesh
aamhtsi	aamhtesi
aamhtsigujmie	aamhtesigujmie
Voestemes	Voestes
aamhtsine	aamhtesinie
Zealaantesnie	Zealaantesne
Walesinie	Walesesne
adjektiv	adjektijve
adjektivi	adjektijvi
aeriebistie	aarebistie
attributte	attribuhte
barkieh	berkieh
gaajhk	gaajhke
eatname	eatneme
eatnamem	eatnemem
eatnamen	eatnemen
edtjibie	edtjebe
edtjidie	edtjede
bøøremeslaakan	bööremeslaakan
eevtiedidh	evtiedidh
evtietidh	evtiedidh
fejjen	feejjen
gaskoe	gaskoeh
gellesh	gallesh
gierve	gïerve
jienedidh	jieniedidh
jieleminie	jielieminie
daltesne	daltesisnie
jisrajelehkidie	israjeelehkidie
jisrajelehki	israjeelehki
jisrajelehkh	israjeelehkh
jienedidh	jieniedidh
ennh	enn
institusjovh	institusjovnh
gaskenasjovnale	gaskenasjonaale
gaajhksidie	gaajhkesidie
dööpmestovline	dåapmoestovline
Europeihke	Europeejehke
dotnoeh	dåtnoeh
alkosne	aalkosne
voesteges	voestes
gujth	gujht
gåerede	gåarede
gåeti	gåetie
hïjven	hijven
gååvnesje	gååvnese
jälloem	jalloem
jæhta	jeahta
kapittelisnie	kapïhtelisnie
kriepesje	krïebpesje
krïepesh	krïebpesjh
gielemoenehtasse	gïelemoenehtse
learohkese	learoehkasse
learohkijstie	learoehkijstie
Monnoeh	Månnoeh
veartnisnie	veartanisnie
learohkide	learoehkidie
heevehtslidteraturh	heevehtslitteratuvrh
lidteraturen	litteratuvren
kultuvrellen	kulturellen
juridijhken	juridihken
joektehts	joekehts
lidteraturh	litteratuvrh
gåeredh	gåaredh
dååhkesjahteme	dåhkasjahteme
aamhtsegietedallemenjoelkedassh	aamhtesegïetedallemenjoelkedassh
aelkiehte	aelkehte
aavoedem	aavodem
dååhkesjahtedh	dåhkasjehtedh
Sáemiedägkan	Saemiedægkan
diskriminereme	diskrimineereme
darjomesoejkesen	darjomesoejkesjen
learohkidie	learoehkidie
daalhksh	daalhkesh
bïhkedsgærjah	bïhkedassegærjah
bæjngoevaarjoeh	bæjngoehvaarjoeh
buektiedidh	buektiehtidh
barkojse	barkose
maab	maam
sjeahtasovveme	sjïehtesovvedh
miete	mietie
jællose	jallose
krïepesj	krïebpesjh
krïepesjidh	krïebpesjidh
njaalmeld	njaalmeldh
njoelkedassh	njoelkedassh
nåeke	nåake
provgrammesne	programmesne
profete	profeete
profeth	profeeth
reaktajde	reaktojde
jælloe	jalloe
rijries	riejries
sattne	satne
siebredahke	siebriedahke
siebredahkese	siebriedahkese
siebredahkesne	siebriedahkesne
siemes	sïemes
sjïdtieh	sjidtieh
soevmien	såevmien
ruhtjehke	rutjkehke
sïjhtieh	sijhtieh
påajhkh	påajkh
mojhtsh	mojhtesh
tjaaleld	tjaaleldh
tjielke	tjïelke
tjielte	tjïelte
tjielten	tjïelten
tjieltesne	tjïeltesne
tjielth	tjïelth
tjielth	tjïelth
tjielti	tjïelti
tjieltide	tjïeltide
tjieltine	tjïeltine
vaadta	vadta
vaadteme	vadteme
veardenen	veartenen
vijregåbpoe	vijriegåbpoe
vierhtiehtidh	vierhtiedidh
åatjoem	åadtjoem
åssjalomme	åssjalommes
vienhtibie	vïenhtebe
våhkoetjåangkojde	våhkoetjåanghkojde
åssjalommese	åssjalommes
Åvlavuelien	Ovlevuelien
Årromelastoeviertieh	Årromelastoevierhtieh
Båeth	Båetieh
öövtiedidh	övtiedidh
öövtiedimmie	övtiedimmie
øøvtiedidh	övtiedidh
Noerhte-Trøøndelaagen	Noerhte-Tröndelaagen
Noerhte-Trøøndelaage	Noerhte-Tröndelaage
sjeavohts	sjeavohth
sjaangerine	sjangerinie
siebredahke	siebriedahke
gierve	gïerve
næmhtie	naemhtie
gaajhk	gaajhkh
eensilaakan	eensilaakan
fylkhesne	fylhkesne
saemma	seamma
påajhke	pååjhke
regijovnalen	regionaalen
lihkebe	lïhkebe
apostelidie	apåstelidie
eatnemisnie	eatnamisnie
danbien	daanbien
båetibie	båetebe
eatnemasse	eatnamasse
måvka	måvhka
mubpeden	mubpien
substantiv	substantijve
attributivt	attributijve
predikativt	predikatijve
uvre	eevre
åarjelhsaemien	åarjelsaemien
daejribie	daejrebe
maehtibie	maehtiejibie
Daejribie	Daejrebe
daen	daan
alma	ålma
maehtie	maehtieh
voestemes	voestes
siebredahkem	siebriedahkem
voejedallie	voejedaellie
na	naa
nåtsh	nååts
